schooldistrict,ongoingfedfunds,enrollment2324,spendingperstudent,milesfromhollister,address,Latitude,Longitude,primaryfedfunding
Tres Pinos Elementary,25253,43,587.3,5,"5635 Airline Hwy, Hollister, CA 95023",36.801111,-121.335781,REAP
Jefferson Elementary ,26136,4,6534.0,33,"221 Old Hernandez Rd. Paicines, CA 95043-9713",36.509637,-121.082332,REAP
Willow Grove Unified ,26880,23,1168.7,23,"11655 Airline Hwy, Paicines, CA 95043",36.736151,-121.281106,REAP
Panoche Elementary ,26971,10,2697.1,40,"31441 Panoche Rd, Paicines, CA 95043",36.606086,-120.863072,REAP
Cienega Union Elementary ,27293,19,1436.5,21,"11936 Cienega Rd, Hollister, CA 95023",36.730093,-121.361396,REAP
San Benito County Office of Education,40044,54,741.6,0.3,"460 5th St, Hollister, CA 95023",36.8518082,-121.4048852,Title I
Southside Elementary ,43538,236,184.5,5,"4991 Southside Rd, Hollister, CA 95023",36.8007852,-121.3651252,REAP
North County Joint Union ,58305,750,77.7,6,"500 Spring Grove Rd, Hollister, CA 95023",36.9147469,-121.3592094,Title I
Aromas-San Juan Unified,214414,959,223.6,11,"2000 San Juan Hwy, San Juan Bautista, CA 95045",36.880838,-121.5558798,Title I
San Benito High ,670272,3539,189.4,1,"1220 Monterey St, Hollister, CA 95023",36.8408249,-121.4046516,Title I
Hollister,1626551,6306,257.9,2,"2690 Cienega Rd, Hollister, CA 95023",36.8234243,-121.4013725,Title I
Bitter-Water Tully Union ,0,26,0,43.8,"45980 Airline Hwy, State Highway 25 King City CA 93930",36.3773484,-120.997585,None
